Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
486,"256 Kissing Point Rd, DUNDAS NSW 2117","256, Kissing Point Road, Dundas Valley, Sydney, City of Parramatta Council, New South Wales, 2117, Australia",-33.798826,151.054578,BP,Not Selling U91    ,150.9
498,"133-139 Pittwater Rd, MANLY NSW 2095","Pittwater Road, Manly, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2095, Australia",-33.7953141,151.2851821,BP,145.9,168.9
504,"832 Bringelly Road, Rossmore NSW 2557","Bringelly Road, Rossmore, Sydney, Camden Council, New South Wales, 2557, Australia",-33.9472803,150.7834127,BP,129.9,150.9
524,"1046 Forest Road, Lugarno NSW 2210","Forest Road, Lugarno, Sydney, Georges River Council, St George, New South Wales, 2210, Australia",-33.9707382,151.0492132,BP,132.9,155.9
561,"777 New South Head Rd, ROSE BAY NSW 2029","New South Head Road, Rose Bay, Sydney, Woollahra Municipal Council, Eastern Suburbs, New South Wales, 2029, Australia",-33.8684548,151.2706804,BP,Not Selling U91    ,170.9
576,"51 Egerton St, SILVERWATER NSW 2128","51, Egerton Street, Silverwater, Sydney, City of Parramatta Council, New South Wales, 2128, Australia",-33.836286,151.04781,BP,128.9,150.9
577,"411-417 Cleveland St, REDFERN NSW 2016","Cleveland Street, Redfern, Sydney, Council of the City of Sydney, New South Wales, 2016, Australia",-33.8894692,151.2045522,BP,137.9,159.9
578,"28 Great Western Highway, Valley Heights NSW 2777","Kerry's Motors, 28, Great Western Highway, Valley Heights, Sydney, Blue Mountains City Council, New South Wales, 2777, Australia",-33.7016307,150.5818272,BP,Not Selling U91    ,178.9
581,"518 Rocky Point Road, Sans Souci NSW 2219","Rocky Point Road, Sans Souci, Sydney, St George, New South Wales, 2219, Australia",-33.9906255,151.1331651,BP,Not Selling U91    ,154.7
583,"72 Harold St, Macquarie Fields NSW 2564","Harold Street, Macquarie Fields, Sydney, Campbelltown City Council, New South Wales, 2564, Australia",-33.9975964,150.8900495,BP,144.9,165.9
587,"426 Princes Highway, WOONONA NSW 2517","Princes Highway, Woonona, Wollongong City Council, New South Wales, 2517, Australia",-34.3505985,150.9031119,BP,149.9,169.9
591,"14- Bernera Road, Prestons NSW 2170","Bernera Road, Prestons, Sydney, Liverpool City Council, New South Wales, 2170, Australia",-33.9327851,150.869106,BP,131.9,158.9
592,"19-21 Windsor Road, Kellyville NSW 2155","Windsor Road, Kellyville, Sydney, The Hills Shire Council, Hills District, New South Wales, 2155, Australia",-33.7094215,150.9448746,BP,Not Selling U91    ,168.9
