Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
85,"651 Princes Highway, Rockdale NSW 2216","Skylight Energy Solar, 651, Princes Highway, Rockdale, Sydney, St George, New South Wales, 2216, Australia",-33.9591901,151.1376967,Speedway,Not Selling U91    ,Not Selling P98
86,"218 King Georges Road, Roselands NSW 2196","218, King Georges Road, Roselands, Sydney, Canterbury-Bankstown Council, New South Wales, 2196, Australia",-33.93310735,151.0735234,Caltex Woolworths,Not Selling U91    ,152.4
87,"114 Boundary Road, PEAKHURST NSW 2210","Boundary Road, Peakhurst, Sydney, Georges River Council, St George, New South Wales, 2210, Australia",-33.9588856,151.0638931,Metro Fuel,Not Selling U91    ,Not Selling P98
89,"474-478 Rocky Point Rd, SANS SOUCI NSW 2219","Rocky Point Road, Sans Souci, Sydney, St George, New South Wales, 2219, Australia",-33.9906255,151.1331651,7-Eleven,136.9,154.9
92,"10 Crystal St, PETERSHAM NSW 2049","Crystal Street, Petersham, Sydney, Inner West Council, Inner West, New South Wales, 2049, Australia",-33.8949275,151.1571114,7-Eleven,147.9,165.9
93,"13-15 Pacific Highway, GATESHEAD NSW 2290","Pacific Highway, Gateshead, Lake Macquarie City Council, New South Wales, 2290, Australia",-32.9783116,151.6919256,7-Eleven,Not Selling U91    ,Not Selling P98
95,"28 Princes Highway, Arncliffe NSW 2205","Princes Highway, Arncliffe, Sydney, Bayside Council, New South Wales, 2205, Australia",-33.9366891,151.1496695,7-Eleven,139.5,157.5
96,"210-214 Wollombi Road, Cessnock NSW 2325","Wollombi Road, Wollombi, Cessnock City Council, New South Wales, 2325, Australia",-32.935174,151.1476962,7-Eleven,127.5,145.5
97,"6,Doyle Rd, Revesby NSW 2210","Doyle Road, Revesby, Sydney, Canterbury-Bankstown Council, New South Wales, 2212, Australia",-33.9517183,151.0260996,Metro Fuel,131.7,149.7
98,"160 SOUTH TCE, BANKSTOWN NSW 2200","South Terrace, Bankstown, Sydney, Canterbury-Bankstown Council, New South Wales, 2200, Australia",-33.9181896,151.0363065,Metro Fuel,130.5,148.5
100,"577 Great Western Hwy, WERRINGTON NSW 2747","Great Western Highway, Werrington, Sydney, Penrith City Council, New South Wales, 2747, Australia",-33.7659377,150.7484569,7-Eleven,136.9,154.9
101,"1055 Great Western Highway, Minchinbury NSW 2770","Great Western Highway, Minchinbury, Sydney, Blacktown City Council, New South Wales, 2770, Australia",-33.7781187,150.8093317,BP,Not Selling U91    ,159.9
102,"646 Richmond Rd, Glendenning NSW 2761","Richmond Road, Glendenning, Sydney, Blacktown City Council, New South Wales, 2761, Australia",-33.7332637,150.8488703,BP,138.9,161.9
103,"102 Maloney St, Eastlakes NSW 2018","Maloney Street, Eastlakes, Sydney, Bayside Council, New South Wales, 2018, Australia",-33.923324,151.2069627,Budget,139.7,159.7
104,"637 Forest Rd, PEAKHURST NSW 2210","Forest Road, Peakhurst, Sydney, Georges River Council, St George, New South Wales, 2210, Australia",-33.9600908,151.0611464,Metro Fuel,131.9,149.9
105,"31 Bourke Street, TURVEY PARK NSW 2650","Bourke Street, Turvey Park, Wagga Wagga City Council, New South Wales, 2650, Australia",-35.1221189,147.355271,United,139.9,Not Selling P98
106,"181 The River Rd, REVESBY NSW 2212","The River Road, Revesby, Sydney, Canterbury-Bankstown Council, New South Wales, 2212, Australia",-33.9406978,151.0184281,Ampol,133.9,158.9
110,"11 Macquarie Street, Windsor NSW 2756","Macquarie Street, Windsor, Sydney, Hawkesbury City Council, New South Wales, 2756, Australia",-33.6054609,150.8241958,Caltex Woolworths,141.9,161.9
111,"370 Railway Parade, Carlton NSW 2216","Railway Parade, Carlton, Sydney, Georges River Council, St George, New South Wales, 2218, Australia",-33.9682696,151.1259593,Independent,135.9,Not Selling P98
112,"485 Sydney Road, Balgowlah NSW 2093","Sydney Road, Balgowlah, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2093, Australia",-33.7938886,151.2604114,BP,151.9,175.9
113,"65 Kenyons Road, Merrylands West NSW 2160","Kenyons Road, Merrylands West, Sydney, Cumberland City Council, New South Wales, 2160, Australia",-33.8359865,150.9741968,BP,Not Selling U91    ,Not Selling P98
114,"126 Chapel Rd South, Bankstown NSW 2200","Chapel Road South, Bankstown, Sydney, Canterbury-Bankstown Council, New South Wales, 2200, Australia",-33.9224955,151.0308271,BP,Not Selling U91    ,Not Selling P98
115,"1 Greenfield Rd, Greenfield Park NSW 2176","Greenfield Road, Greenfield Park, Sydney, Fairfield City Council, New South Wales, 2176, Australia",-33.871608,150.8934807,BP,Not Selling U91    ,Not Selling P98
116,"835 King Georges Road, South Hurstville NSW 2221","King Georges Road, South Hurstville, Sydney, Georges River Council, St George, New South Wales, 2221, Australia",-33.9833913,151.1091246,Coles Express,Not Selling U91    ,157.9
117,"948-950 Canterbury Rd, Roselands NSW 2196","948-950, Canterbury Road, Roselands, Sydney, Canterbury-Bankstown Council, New South Wales, 2196, Australia",-33.9282723,151.0781347,Independent,131.9,149.9
118,"1004 Botany Rd., Mascot NSW 2020","Botany Road, Mascot, Sydney, Bayside Council, New South Wales, 2020, Australia",-33.9381494,151.194712,Budget,140.5,157.5
121,"198-199 Great Western Hwy, HAZELBROOK NSW 2779","Great Western Highway, Hazelbrook, Sydney, Blue Mountains City Council, New South Wales, 2779, Australia",-33.7223607,150.453094,Ampol,Not Selling U91    ,Not Selling P98
122,"875 Richmond Rd, MARSDEN PARK NSW 2765","875, Richmond Road, Marsden Park, Sydney, Blacktown City Council, New South Wales, 2765, Australia",-33.7160988,150.8457462,Ampol,140.4,161.4
